date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:15:12	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-652d5627-350b7f41c8ed0991;gz%22	https://www.bidmarketing.net/robots.txt		(from )
01:15:12	31920/31920	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2008:15:12%20GMT	https://www.bidmarketing.net/	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/index.html	(from )
01:15:12	21499/21499	---M--	200	added ('OK')	image/png	etag:%2253fb-65bd3a22-b644f33137a4dbd4;;;%22	https://www.bidmarketing.net/img/logoo.png	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/img/logoo.png	(from https://www.bidmarketing.net/)
01:15:13	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/Marketing/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://www.bidmarketing.net/)
01:15:14	63666/63666	---MCZ	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/Marketing/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://www.bidmarketing.net/)
01:15:14	16953/16953	---M-Z	200	added ('OK')	text/css	etag:%224239-65bd3a22-82f8a9c24744ca87;gz%22	https://www.bidmarketing.net/lib/animate/animate.min.css	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/lib/animate/animate.min.css	(from https://www.bidmarketing.net/)
01:15:14	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-65bd3a22-d89cfd95f08f760b;gz%22	https://www.bidmarketing.net/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/lib/owlcarousel/assets/owl.carousel.min.css	(from https://www.bidmarketing.net/)
01:15:15	164194/164194	---M-Z	200	added ('OK')	text/css	etag:%2228162-65bd3a22-c824631ffb8aeb01;gz%22	https://www.bidmarketing.net/css/bootstrap.min.css	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/css/bootstrap.min.css	(from https://www.bidmarketing.net/)
01:15:15	8659/8659	---M-Z	200	added ('OK')	text/css	etag:%2221d3-65bd3a22-75e9aec9db8ddff2;gz%22	https://www.bidmarketing.net/css/style.css	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/css/style.css	(from https://www.bidmarketing.net/)
01:15:16	31920/31920	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2008:15:15%20GMT	https://www.bidmarketing.net/index.php	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/index-2.html	(from https://www.bidmarketing.net/)
